STATE,POPULATION
.Alabama,"5,039,877"
.Alaska,"732,673"
.Arizona,"7,276,316"
.Arkansas,"3,025,891"
.California,"39,237,836"
.Colorado,"5,812,069"
.Connecticut,"3,605,597"
.Delaware,"1,003,384"
.District of Columbia,"670,050"
.Florida,"21,781,128"
.Georgia,"10,799,566"
.Hawaii,"1,441,553"
.Idaho,"1,900,923"
.Illinois,"12,671,469"
.Indiana,"6,805,985"
.Iowa,"3,193,079"
.Kansas,"2,934,582"
.Kentucky,"4,509,394"
.Louisiana,"4,624,047"
.Maine,"1,372,247"
.Maryland,"6,165,129"
.Massachusetts,"6,984,723"
.Michigan,"10,050,811"
.Minnesota,"5,707,390"
.Mississippi,"2,949,965"
.Missouri,"6,168,187"
.Montana,"1,104,271"
.Nebraska,"1,963,692"
.Nevada,"3,143,991"
.New Hampshire,"1,388,992"
.New Jersey,"9,267,130"
.New Mexico,"2,115,877"
.New York,"19,835,913"
.North Carolina,"10,551,162"
.North Dakota,"774,948"
.Ohio,"11,780,017"
.Oklahoma,"3,986,639"
.Oregon,"4,246,155"
.Pennsylvania,"12,964,056"
.Rhode Island,"1,095,610"
.South Carolina,"5,190,705"
.South Dakota,"895,376"
.Tennessee,"6,975,218"
.Texas,"29,527,941"
.Utah,"3,337,975"
.Vermont,"645,570"
.Virginia,"8,642,274"
.Washington,"7,738,692"
.West Virginia,"1,782,959"
.Wisconsin,"5,895,908"
.Wyoming,"578,803"
.Puerto Rico,"3,263,584"
